ID_Pregunta,Pregunta,Respuesta,Palabras_Clave
FAQ-011,"¿Hay espacios para mascotas?","¡Por supuesto! Somos pet-friendly. Contamos con áreas verdes amplias, senderos para pasear mascotas y estaciones de limpieza. En las amenidades comunes permitimos mascotas con correa y bajo supervisión de sus dueños. Cada vivienda tiene patio o jardín privado ideal para tus mascotas.","mascotas,pet,perros,gatos,áreas verdes,patio,jardín,senderos,pet-friendly"
FAQ-012,"¿Cuál es el proceso de compra?","El proceso es: 1) Visita y elección del modelo, 2) Apartado con documentos y anticipo, 3) Gestión de crédito (si aplica), 4) Firma de contrato de compraventa, 5) Seguimiento de construcción, 6) Entrega de vivienda. Te acompañamos en todo el proceso con asesoría personalizada.","proceso,compra,pasos,apartado,contrato,gestión,crédito,entrega,asesoría"
FAQ-013,"¿Ofrecen garantía en la construcción?","Sí, ofrecemos garantía integral: 1 año en acabados, 2 años en instalaciones eléctricas e hidráulicas, 5 años en estructura. Además, contamos con servicio post-venta para cualquier detalle que requiera atención. Nuestro compromiso es tu satisfacción total.","garantía,post-venta,servicio,acabados,instalaciones,estructura,compromiso"
FAQ-014,"¿Hay transporte público cerca?","Sí, tenemos excelente conectividad de transporte público. A 5 minutos caminando hay paradas de autobús con rutas hacia el centro de la ciudad, centros comerciales y zonas de trabajo. También hay acceso a transporte colectivo y servicios de taxi y aplicaciones de transporte.","transporte,público,autobús,rutas,conectividad,taxi,aplicaciones,movilidad"
FAQ-015,"¿Qué servicios hay en la zona?","La zona cuenta con todos los servicios necesarios: supermercados, farmacias, bancos, restaurantes, escuelas desde preescolar hasta preparatoria, centros de salud, iglesias, parques públicos y centros comerciales. Todo a menos de 15 minutos de distancia.","servicios,zona,supermercados,farmacias,bancos,escuelas,salud,comercios"
FAQ-016,"¿Puedo agendar una visita?","¡Claro! Puedes agendar tu visita de lunes a sábado de 9:00 AM a 6:00 PM. Tenemos recorridos guiados donde te mostramos las casas muestra, amenidades y te explicamos todos los detalles del proyecto. ¿Qué día y horario te conviene más?","visita,agendar,recorrido,horarios,lunes,sábado,casa muestra,guiado"
FAQ-017,"¿Hay estacionamiento?","Cada vivienda incluye 2 cajones de estacionamiento techados dentro de tu propiedad. Adicionalmente, el fraccionamiento cuenta con estacionamiento para visitas en áreas comunes y espacios amplios para maniobras. Todo está diseñado pensando en la comodidad de los residentes.","estacionamiento,cajones,techado,visitas,maniobras,comodidad,residentes"
FAQ-018,"¿Qué edad tiene que tener para comprar?","Debes ser mayor de edad (18 años) y contar con capacidad de pago comprobable. Si eres menor de edad, puede realizarse la compra a nombre de tus padres o tutores legales. Nuestro equipo legal te asesora sobre las mejores opciones según tu situación particular.","edad,mayor,18 años,capacidad,pago,padres,tutores,legal,asesoría"
FAQ-019,"¿Aceptan crédito INFONAVIT?","¡Sí! Somos un desarrollo autorizado por INFONAVIT. Aceptamos créditos tradicionales, cofinanciamientos y esquemas especiales. Nuestro equipo especializado te ayuda con todos los trámites y gestiones ante el instituto. También trabajamos con FOVISSSTE y otros organismos.","infonavit,crédito,autorizado,cofinanciamiento,trámites,fovissste,organismos"
FAQ-020,"¿Hay alguna promoción vigente?","Actualmente tenemos promociones especiales: descuentos por pronto pago, meses sin intereses en apartado, y bonificaciones por referir amigos. Las promociones cambian según la temporada. Te recomiendo agendar una visita para conocer las ofertas vigentes y aprovechar los mejores beneficios.","promoción,descuentos,pronto pago,meses,intereses,bonificaciones,ofertas,beneficios"

